亜鉛	aen	zinc
整体	seitai	seitai
整地	seiti	soil preparation
整然	seizen	orderly
整復	seihuku	reposition
整頓	seiton	orderliness
整骨	seikotu	bonesetting
整髪	seihatu	hairdressing
整数	seisuu	integer
整流	seiryuu	rectification
整斉	seisei	symmetrical
整除	seizyo	exact division
整調	seityoo	tuning
整容	seiyoo	straighten one's posture
調整	tyoosei	regulation
修整	syuusei	adjustment
均整	kinsei	symmetry
端整	tansei	shapely
補整	hosei	adjust
不整	husei	irregularity
不整	husei	irregularity
斥力	sekiryoku	repulsion
斥候	sekkoo	scout
排斥	haiseki	rejection
析出	sekisyutu	separating
分析	bunseki	analysis
解析	kaiseki	analysis
透析	tooseki	dialysis
惜敗	sekihai	regrettable defeat
惜別	sekibetu	regret or reluctance to part
惜春	sekisyun	lamenting the passing of spring
哀惜	aiseki	grief
愛惜	aiseki	missing someone
痛惜	tuuseki	deep regret
拙速	sessoku	hasty
拙劣	seturetu	clumsy
拙者	sessya	I
拙宅	settaku	one's home
拙文	setubun	poor writing
拙著	settyo	my production
拙稿	sekkoo	my manuscript
拙作	sessaku	poor work
稚拙	tisetu	unskillful
巧拙	koosetu	tact
窃盗	settoo	theft
窃取	sessyu	theft
剽窃	hyoosetu	plagiarism
摂取	sessyu	intake
摂理	seturi	providence
摂政	sessyoo	regent
摂関	sekkan	regents and advisers
摂氏	sessi	Centigrade
摂生	sessei	hygiene
摂社	sessya	auxiliary shrine
摂家	sekke	regents and advisers
包摂	hoosetu	subsumption
節目	husime	turning point
節約	setuyaku	economising
節減	setugen	retrenchment
節電	setuden	conservation of electricity
節度	setudo	moderation
節水	sessui	saving water
節分	setubun	last day of winter in the traditional Japanese calendar
節税	setuzei	tax reduction
節句	sekku	seasonal festival
節気	sekki	24 divisions of the solar year
節制	sessei	moderation
節操	sessoo	constancy
節酒	sessyu	temperance
節穴	husiana	knothole
節々	husibusi	joints
節煙	setuen	moderation in smoking
節供	sekku	seasonal festival
節倹	sekken	economy
節義	setugi	fidelity to principle
節食	sessyoku	eating lightly
節季	sekki	end of the year or season
節理	seturi	joint
節用	setuyoo	economization
関節	kansetu	joints
調節	tyoosetu	regulation
前節	zensetu	preceding paragraph, section, or verse
一節	issetu	a verse
使節	sisetu	envoy
春節	syunsetu	Lunar New Year
変節	hensetu	apostasy
礼節	reisetu	decorum
苦節	kusetu	unswerving determination
時節	zisetu	season
結節	kessetu	knot
忠節	tyuusetu	loyalty
当節	toosetu	nowadays
晩節	bansetu	late in life
末節	massetu	minor details
小節	syoosetu	bar
鰹節	katuobusi	katsuobushi
文節	bunsetu	phrase
音節	onsetu	syllable
貞節	teisetu	chastity
分節	bunsetu	articulation
貞節	teisetu	chastity
符節	husetu	tally
御節	oseti	food served during the New Year's Holidays
生節	namabusi	boiled and half-dried bonito
折節	orihusi	occasionally
環節	kansetu	segment
臣節	sinsetu	loyalty to one's master
本節	honbusi	top-quality dried bonito
佳節	kasetu	auspicious occasion
舌戦	zessen	war of words
舌鼓	sitatuzumi	smacking one's lips
舌鋒	zeppoo	eloquence
舌禍	zekka	slip of tongue
舌苔	zettai	fur
舌先	sitasaki	tip of tongue
舌根	zekkon	root of the tongue
毒舌	dokuzetu	wicked tongue
冗舌	zyoozetu	garrulity
弁舌	benzetu	speech
筆舌	hituzetu	written and spoken words
饒舌	zyoozetu	garrulity
猫舌	nekozita	dislike of very hot food or drink
口舌	koozetu	manner of speaking
百舌	mozu	shrike
湿舌	situzetu	tongue
鴃舌	gekizetu	barbarian jabbering
仙人	sennin	immortal mountain wizard
仙女	sennyo	fairy
仙境	senkyoo	fairyland
仙薬	senyaku	panacea
仙術	senzyutu	wizardry
仙郷	senkyoo	fairyland
仙骨	senkotu	sacrum
仙界	senkai	dwelling place of hermits
仙窟	senkutu	enchanted cave
水仙	suisen	daffodil
神仙	sinsen	immortal mountain wizard
歌仙	kasen	great poet
銘仙	meisen	meisen silk
酒仙	syusen	heavy drinker
登仙	toosen	becoming a saint
詩仙	sisen	great poet
宣言	sengen	declaration
宣伝	senden	publicity
宣告	senkoku	sentence
宣誓	sensei	oath
宣戦	sensen	declaration of war
宣教	senkyoo	religious mission
宣布	senpu	proclamation
宣揚	senyoo	enhancement
宣下	senge	imperial proclamation
宣旨	senzi	written imperial order
宣命	senmyoo	imperial edict
宣撫	senbu	pacification
街宣	gaisen	propaganda activity on the streets
託宣	takusen	oracle
染色	sensyoku	staining
染料	senryoo	dyes
染織	sensyoku	dyeing and weaving
染物	somemono	dyeing
染髪	senpatu	hair dyeing
染筆	senpitu	writing
感染	kansen	infection
汚染	osen	pollution
伝染	densen	contagion
愛染	aizen	being drawn to something one loves
馴染	nazimi	intimacy
藍染	aizome	indigo dye
捺染	nassen	print
媒染	baisen	color fixing
扇動	sendoo	incitement
扇子	sensu	folding fan
扇情	senzyoo	suggestiveness
扇形	senkei	fan shape
扇状	senzyoo	fan form
白扇	hakusen	white fan
団扇	utiwa	fan
舞扇	maioogi	dancer's fan
檜扇	hioogi	formal folding fan made of hinoki cypress
鉄扇	tessen	iron-ribbed fan
軍扇	gunsen	ancient commander's fan
栓抜	sennuki	bottle opener
血栓	kessen	thrombus
元栓	motosen	stopcock
活栓	kassen	valve
角栓	kakusen	blackhead
密栓	missen	stopping tightly
旋風	senpuu	whirlwind
旋律	senritu	melody
旋回	senkai	revolution
旋盤	senban	lathe
旋法	senpoo	mode
旋毛	tumuzi	head
凱旋	gaisen	triumphal return
斡旋	assen	kind offices
周旋	syuusen	good offices
螺旋	rasen	spiral
回旋	kaisen	rotation
践祚	senso	accession
実践	zissen	practice
銭湯	sentoo	bath-house
金銭	kinsen	money
小銭	kozeni	coins
無銭	musen	without money
一銭	issen	one-hundredth of a yen
賽銭	saisen	monetary offering
身銭	mizeni	one's own money
古銭	kosen	old coin
日銭	hizeni	daily income in cash
寺銭	terasen	banker's cut or fee charged in a gambling saloon
銅銭	doosen	copper coin
悪銭	akusen	ill-gotten money
口銭	koosen	commission
借銭	syakusen	debt
湯銭	yusen	fee for public bath
賃銭	tinsen	wages
釣銭	turisen	change
米銭	beisen	rice and money
潜在	senzai	potentiality
潜伏	senpuku	concealment
潜水	sensui	diving
潜入	sennyuu	infiltration
潜航	senkoo	submarine voyage
潜行	senkoo	underwater navigation
潜熱	sennetu	latent heat
原潜	gensen	nuclear submarine
沈潜	tinsen	sinking into deep thought
遷都	sento	relocation of the capital
遷宮	senguu	installation of a deity in a new shrine
遷延	senen	delay
遷移	seni	transition
遷化	senge	death
遷座	senza	relocation of a shrine
遷幸	senkoo	departure of the emperor from the capital
変遷	hensen	change
左遷	sasen	demotion
東遷	toosen	east
奉遷	hoosen	moving an object of worship
推薦	suisen	recommendation
自薦	zisen	self-recommendation
他薦	tasen	recommendation
繊維	seni	fibre
繊細	sensai	dainty
繊毛	senmoo	cilia
繊巧	senkoo	fine workmanship
合繊	goosen	synthetic fiber
化繊	kasen	synthetic fibres
鮮明	senmei	vivid
鮮烈	senretu	vivid
鮮度	sendo	freshness
鮮魚	sengyo	fresh fish
鮮血	senketu	fresh blood
鮮麗	senrei	vivid
鮮紅	senkoo	scarlet
鮮肉	senniku	fresh meat
鮮鋭	senei	sharp
新鮮	sinsen	fresh
生鮮	seisen	fresh
海鮮	kaisen	seafood
善意	zeni	virtuous mind
善戦	zensen	fighting a good fight
善悪	zenaku	good and evil
善玉	zendama	good person
善良	zenryoo	goodness
善人	zennin	good people
善隣	zenrin	good neighbour
善処	zensyo	handling carefully
善行	zenkoo	good deed
善後	zengo	giving careful thought to the future
善政	zensei	good government
善哉	zenzai	Well done!
善導	zendoo	proper guidance
善根	zenkon	good deeds
善用	zenyoo	good use
善事	zenzi	good thing
善女	zennyo	female believer
善心	zensin	virtue
善果	zenka	good results
改善	kaizen	betterment
親善	sinzen	friendship
最善	saizen	the very best
慈善	zizen	charity
独善	dokuzen	self-righteousness
偽善	gizen	hypocrisy
追善	tuizen	mass for the dead
次善	zizen	second best
不善	huzen	evil
性善	seizen	intrinsic goodness
十善	zyuuzen	the ten good acts
至善	sizen	the highest good
積善	sekizen	accumulation of good deeds
小善	syoozen	a small kindness
禅僧	zensoo	Zen priest
禅譲	zenzyoo	of a more virtuous successor
禅師	zenzi	monk
禅宗	zensyuu	Zen
禅尼	zenni	Zen nun
禅学	zengaku	Zen studies
禅定	zenzyoo	dhyana-samadhi
禅堂	zendoo	zendo
禅味	zenmi	the flavor of Zen
禅室	zensitu	room for zazen meditation
禅門	zenmon	Zen
禅林	zenrin	Zen temple
座禅	zazen	zazen
友禅	yuuzen	type of dyeing method or pattern
坐禅	zazen	zazen
参禅	sanzen	Zen meditation
漸進	zensin	gradual progress
漸減	zengen	gradual decrease
漸増	zenzoo	gradual increase
漸近	zenkin	asymptote
東漸	toozen	eastward advance
西漸	seizen	westward advance
修繕	syuuzen	repair
営繕	eizen	upkeep
狙撃	sogeki	shooting
阻止	sosi	obstruction
阻害	sogai	obstruction
阻喪	sosoo	loss of spirit
険阻	kenso	precipice
悪阻	tuwari	morning sickness
租税	sozei	taxes
租界	sokai	concession
租借	sosyaku	lease
公租	kooso	public tax
地租	tiso	land tax
田租	denso	farm tariff
免租	menso	tax exemption
素材	sozai	raw materials
素直	sunao	obedient
素朴	soboku	simplicity
素案	soan	draft
素人	sirooto	amateur
素顔	sugao	face with no make-up
素質	sositu	character
素手	sude	unarmed
素子	sosi	element
素地	sozi	foundation
素敵	suteki	lovely
素描	sobyoo	drawing
素足	suasi	bare feet
素養	soyoo	groundings in
素性	suzyoo	birth
素行	sokoo	behaviour
素肌	suhada	body
素数	sosuu	prime number
素因	soin	basic factor
素首	sokubi	head
素読	sodoku	without trying to understand it
素麺	soomen	fine white noodles
素襖	suoo	suou
素袍	suoo	suou
素裸	suppadaka	nudity
素生	suzyoo	birth
素志	sosi	longstanding desire or goal
素馨	sokei	Spanish jasmine
素焼	suyaki	bisque
素姓	suzyoo	birth
素的	suteki	lovely
素描	sugaki	uncolored sketch
要素	yooso	component
酸素	sanso	oxygen
炭素	tanso	carbon
水素	suiso	hydrogen
簡素	kanso	simplicity
酵素	kooso	enzyme
窒素	tisso	nitrogen
色素	sikiso	pigment
塩素	enso	chlorine
画素	gaso	picture element
元素	genso	chemical element
毒素	dokuso	toxin
質素	sisso	simplicity
臭素	syuuso	bromine
尿素	nyooso	urea
簡素	kanso	simplicity
平素	heiso	ordinary
平素	heiso	ordinary
砒素	hiso	arsenic
質素	sisso	simplicity
音素	onso	phoneme
珪素	keiso	silicon
複素	hukuso	complex
措置	soti	measure
措定	sotei	assumption
措辞	sozi	wording
特措	tokuso	special measure
挙措	kyoso	behavior
粗鋼	sokoo	crude steel
粗末	somatu	crude
粗暴	soboo	wild
粗悪	soaku	coarse
粗食	sosyoku	simple diet
粗雑	sozatu	coarse
粗製	sosei	crude construction or manufacture
粗野	soya	rustic
粗筋	arasuzi	outline
粗品	sosina	low-grade goods
粗塩	arasio	sea salt
粗相	sosoo	carelessness
粗忽	sokotu	careless
粗朶	soda	brushwood
粗略	soryaku	coarse
粗密	somitu	coarseness and fineness
粗忽	sokotu	careless
粗放	sohoo	rough
粗糖	sotoo	raw sugar
粗衣	soi	simple clothes
粗茶	sotya	coarse, low-grade tea
粗大	sodai	coarse or rough
粗笨	sohon	crude
粗皮	arakawa	bark
粗描	sobyoo	rough sketch
精粗	seiso	fineness or coarseness
疎通	sotuu	understanding
疎開	sokai	dispersal
疎外	sogai	estrangement
疎遠	soen	estrangement
疎水	sosui	canal
疎密	somitu	coarseness and fineness
疎林	sorin	sparse woods
疎漏	soroo	careless
疎隔	sokaku	alienation
疎略	soryaku	coarse
過疎	kaso	depopulation
過疎	kaso	depopulation
空疎	kuuso	vain
空疎	kuuso	vain
親疎	sinso	degree of intimacy
訴訟	sosyoo	litigation
訴追	sotui	legal action
訴状	sozyoo	petition
訴因	soin	charge
訴求	sokyuu	promoting a product or service
訴権	soken	action
訴人	sonin	a suitor
訴願	sogan	petition
起訴	kiso	prosecution
控訴	kooso	koso appeal
提訴	teiso	presenting a case
敗訴	haiso	loss of a court-case
告訴	kokuso	accusation
勝訴	syooso	winning a lawsuit
公訴	kooso	accusation
直訴	zikiso	direct appeal
上訴	zyooso	appeal
免訴	menso	acquittal
愁訴	syuuso	complaint
反訴	hanso	counteraction
本訴	honso	suit
強訴	gooso	direct petition
応訴	ooso	countersuit
追訴	tuiso	supplementary suit or indictment
哀訴	aiso	appeal
越訴	esso	appeal made directly to a senior official without going through formalities
讒訴	zanso	false charges
泣訴	kyuuso	imploring with tears in one's eyes
塑像	sozoo	earthen image
塑性	sosei	plasticity
可塑	kaso	plastic
彫塑	tyooso	carving
礎石	soseki	foundation stone
基礎	kiso	foundation
定礎	teiso	laying a cornerstone
壮大	soodai	magnificent
壮行	sookoo	rousing
壮絶	soozetu	grand
壮年	soonen	prime of life
壮観	sookan	spectacle
壮麗	soorei	splendour
壮快	sookai	emotionally uplifting
壮烈	sooretu	heroic
壮士	soosi	young man in his prime
壮観	sookan	spectacle
壮挙	sookyo	undertaking
壮健	sooken	healthy
壮者	soosya	person in his or her prime
壮図	sooto	ambitious undertaking
壮丁	sootei	youth
壮途	sooto	ambitious undertaking
壮齢	soorei	in the prime of manhood
悲壮	hisoo	heroic
勇壮	yuusoo	heroic
強壮	kyoosoo	able-bodied
悲壮	hisoo	heroic
豪壮	goosoo	splendour
少壮	syoosoo	youth
広壮	koosoo	grand
勇壮	yuusoo	heroic
雄壮	yuusoo	heroic
雄壮	yuusoo	heroic
宏壮	koosoo	grand
広壮	koosoo	grand
奏者	soosya	instrumentalist
奏功	sookoo	success
奏法	soohoo	playing
奏楽	soogaku	musical performance
奏上	soozyoo	report to the Emperor
奏効	sookoo	efficacy
奏請	soosei	petitioning the Emperor
演奏	ensoo	musical performance
伴奏	bansoo	accompaniment
重奏	zyuusoo	instrumental ensemble
合奏	gassoo	concert
前奏	zensoo	prelude
独奏	dokusoo	solo
序奏	zyosoo	introduction
間奏	kansoo	interlude
上奏	zyoosoo	report to the throne
内奏	naisoo	secret report to the emperor
吹奏	suisoo	playing wind instruments
連奏	rensoo	performance by two or more musicians playing similar instruments
弾奏	dansoo	performance
荘厳	soogon	solemnity
荘園	syooen	manor
荘厳	syoogon	adorning
荘重	sootyoo	solemn
別荘	bessoo	holiday house
山荘	sansoo	mountain villa
倉庫	sooko	storehouse
矢倉	yagura	turret
穀倉	kokusoo	granary
営倉	eisoo	guardhouse
船倉	hunagura	boathouse
弾倉	dansoo	magazine
校倉	azekura	ancient log storehouse
胸倉	munagura	collar
挿入	soonyuu	insertion
挿絵	sasie	illustration
挿話	soowa	episode
挿画	sooga	illustration
挿花	sooka	flower arrangement
挿図	soozu	illustration
桑田	sooden	mulberry plantation
桑原	kuwabara	mulberry field
桑畑	kuwabatake	mulberry field
桑子	kuwago	silkworm
桑園	sooen	mulberry plantation
桑門	soomon	monk
扶桑	husoo	land east of China
巣箱	subako	nest box
巣窟	sookutu	den
古巣	hurusu	old haunts
卵巣	ransoo	ovary
営巣	eisoo	building a nest
病巣	byoosoo	focus
精巣	seisoo	testicle
帰巣	kisoo	homing
空巣	akisu	prowler
曹長	sootyoo	master sergeant
曹達	sooda	soda
法曹	hoosoo	legal profession
軍曹	gunsoo	sergeant
重曹	zyuusoo	baking soda
兵曹	heisoo	warrant soldier
爽快	sookai	refreshing
爽秋	soosyuu	refreshing and pleasant autumn
爽涼	sooryoo	cool and refreshing
颯爽	sassoo	gallant
清爽	seisoo	refreshing
創設	soosetu	establishment
創造	soozoo	creation
創業	soogyoo	establishment
創刊	sookan	launching
創立	sooritu	establishment
創作	soosaku	production
創出	soosyutu	creation
創部	soobu	establishing a club
創意	sooi	original idea
創始	soosi	creation
創建	sooken	establishment
創痍	sooi	wound
創世	soosei	creation of world
創案	sooan	original idea
創傷	soosyoo	wound
創製	soosei	invention
創発	soohatu	emergence
創見	sooken	originality
独創	dokusoo	originality
草創	soosoo	beginning
銃創	zyuusoo	gunshot wound
喪主	mosyu	chief mourner
喪失	soositu	loss
喪中	motyuu	mourning
喪服	mohuku	mourning dress
喪章	mosyoo	sign of mourning
喪神	soosin	losing consciousness
喪家	sooka	homeless
服喪	hukumo	going into mourning
大喪	taisoo	Imperial mourning
阻喪	sosoo	loss of spirit
葬儀	soogi	funeral service
葬式	soosiki	funeral
葬祭	soosai	funerals and ceremonial occasions
葬送	soosoo	funeral
葬列	sooretu	funeral procession
葬礼	soorei	funeral
葬具	soogu	funeral accessories
埋葬	maisoo	burial
火葬	kasoo	cremation
密葬	missoo	private funeral
社葬	syasoo	company funeral
国葬	kokusoo	state funeral
本葬	honsoo	formal funeral
土葬	dosoo	burial
改葬	kaisoo	reburial
会葬	kaisoo	attendance at a funeral
水葬	suisoo	burial at sea
公葬	koosoo	public funeral
風葬	huusoo	by exposure to the elements
大葬	taisoo	imperial funeral
屈葬	kussoo	crouched burial
神葬	sinsoo	Shinto funeral
仏葬	bussoo	Buddhist funeral
僧侶	sooryo	priest
僧院	sooin	monastery
僧兵	soohei	priest soldier
僧衣	sooi	priest's garb
僧籍	sooseki	priesthood
僧正	soozyoo	high Buddhist priest
僧坊	sooboo	priests' temple quarters
僧形	soogyoo	the form of a Buddhist priest
僧服	soohuku	priest's garb
僧職	soosyoku	priesthood
僧堂	soodoo	temple meditation hall or certain other temple structures
僧位	sooi	priestly rank
僧徒	sooto	priests
僧都	soozu	Buddhist priest
僧体	sootai	the form of Buddhist priest
僧房	sooboo	priests' temple quarters
僧尼	sooni	monks and nuns
小僧	kozoo	youngster
高僧	koosoo	high priest
禅僧	zensoo	Zen priest
尼僧	nisoo	nun
名僧	meisoo	noted priest
学僧	gakusoo	learned priest pursuing his studies
旅僧	tabisoo	traveling priest
悪僧	akusoo	dissolute priest
若僧	wakazoo	youngster
役僧	yakusoo	priest in charge of a temple's clerical duties
師僧	sisoo	priestly teacher
伴僧	bansoo	priests assisting at a Buddhist service
遭難	soonan	disaster
遭遇	sooguu	encounter
浴槽	yokusoo	bathtub
水槽	suisoo	water tank
油槽	yusoo	oil tank
歯槽	sisoo	alveolus
操作	soosa	operation
操業	soogyoo	operation
操縦	soozyuu	flying
操舵	sooda	steering
操船	soosen	handling a ship
操車	soosya	operation
操行	sookoo	conduct
操守	soosyu	constancy
体操	taisoo	gymnastics
情操	zyoosoo	sensibility
節操	sessoo	constancy
貞操	teisoo	chastity
志操	sisoo	principle
徳操	tokusoo	strong, immovable sense of morality
霜柱	simobasira	frost columns
霜月	simotuki	eleventh month of the lunar calendar
霜降	simohuri	speckled with white
霜夜	simoyo	frosty night
霜雪	soosetu	frost and snow
霜害	soogai	frost damage
遅霜	osozimo	late spring frost
秋霜	syuusoo	autumn frost
晩霜	bansoo	a late frost
星霜	seisoo	years
降霜	koosoo	frost
騒動	soodoo	strife
騒音	sooon	noise
騒乱	sooran	disturbance
騒然	soozen	noisy
騒擾	soozyoo	riot
騒人	soozin	poet
喧騒	kensoo	tumult
物騒	bussoo	dangerous
狂騒	kyoosoo	mania
潮騒	siosai	sea roar
藻類	soorui	seaweed
藻塩	mosio	seaweed salt
藻屑	mokuzu	scraps of seaweed
海藻	kaisoo	seaweed
緑藻	ryokusoo	green algae
珪藻	keisoo	diatom
毬藻	marimo	marimo
褐藻	kassoo	brown algae
詞藻	sisoo	florid expression
即時	sokuzi	prompt
即日	sokuzitu	same day
即座	sokuza	immediate
即位	sokui	enthronement
即席	sokuseki	extempore
即死	sokusi	instant death
即興	sokkyoo	improvisation
即応	sokuoo	compliance
即効	sokkoo	immediate effect
即答	sokutoo	immediate reply
即刻	sokkoku	immediately
即売	sokubai	sale on the spot
即断	sokudan	prompt decision
即決	sokketu	prompt decision
即金	sokkin	payment in full
即今	sokkon	at the moment
即行	sokkoo	immediately carrying out
即製	sokusei	quick or instant
即諾	sokudaku	ready consent
即納	sokunoo	prompt payment or delivery
相即	soosoku	coming together and dissolvinge into oneness
促進	sokusin	promotion
促成	sokusei	promotion of growth
促音	sokuon	assimilated sound
督促	tokusoku	urge
催促	saisoku	pressing
販促	hansoku	sales promotion
俗説	zokusetu	common saying
俗語	zokugo	colloquialism
俗物	zokubutu	worldly-minded person
俗称	zokusyoo	common name
俗悪	zokuaku	worldliness
俗世	zokuse	this world
俗曲	zokkyoku	folk song
俗論	zokuron	popular opinion
俗人	zokuzin	ordinary people
俗信	zokusin	folk belief
俗名	zokumyoo	common name
俗界	zokkai	secular life
俗字	zokuzi	popular characters
俗謡	zokuyoo	popular song
俗流	zokuryuu	populace
俗化	zokka	vulgarization
俗気	zokuki	vulgarity
俗学	zokugaku	popular learning
俗事	zokuzi	worldly affairs
俗臭	zokusyuu	vulgarity
俗耳	zokuzi	vulgar ears
俗諺	zokugen	proverb
俗解	zokkai	explanation in common language
俗言	zokugen	colloquial language
俗塵	zokuzin	the world
俗画	zokuga	popular picture
俗間	zokkan	the world
俗書	zokusyo	cheap fiction
俗用	zokuyoo	wordly matters
風俗	huuzoku	manners
民俗	minzoku	folk customs
世俗	sezoku	common customs
習俗	syuuzoku	manners and customs
低俗	teizoku	vulgar
土俗	dozoku	local customs
通俗	tuuzoku	popular
通俗	tuuzoku	popular
卑俗	hizoku	vulgarity
還俗	genzoku	return to secular life
凡俗	bonzoku	mediocrity
超俗	tyoozoku	aloofness
美俗	bizoku	a fine custom
在俗	zaizoku	layman or laity
脱俗	datuzoku	unworldliness
雅俗	gazoku	refined and vulgar
平俗	heizoku	commonplace
古俗	kozoku	old custom
良俗	ryoozoku	good custom
鄙俗	hizoku	vulgarity
属性	zokusei	attribute
属国	zokkoku	vassal state
属人	zokuzin	personal
属領	zokuryoo	possession
属地	zokuti	territorial
属島	zokutoo	an island belonging to a political entity
属望	syokuboo	expectation
属目	syokumoku	paying attention to
所属	syozoku	attached to
金属	kinzoku	metal
付属	huzoku	attached
帰属	kizoku	belonging to
配属	haizoku	assignment
専属	senzoku	exclusive
直属	tyokuzoku	direct control
軍属	gunzoku	civilian in military employ
従属	zyuuzoku	subordination
附属	huzoku	attached
隷属	reizoku	subordination
係属	keizoku	relationship
転属	tenzoku	changing assignments
尊属	sonzoku	direct ancestors
服属	hukuzoku	a follower
卑属	hizoku	lineal descendants
眷属	kenzoku	family
賊軍	zokugun	rebel army
賊名	zokumei	"the name of ""rebel"""
賊徒	zokuto	rebels
海賊	kaizoku	pirate
盗賊	toozoku	thief
国賊	kokuzoku	traitor
山賊	sanzoku	bandit
義賊	gizoku	chivalrous thief
逆賊	gyakuzoku	rebel
烏賊	ika	cuttlefish
木賊	tokusa	scouring rushes
馬賊	bazoku	mounted bandit
兇賊	kyoozoku	villain
匪賊	hizoku	bandit
凶賊	kyoozoku	villain
奸賊	kanzoku	villain
率直	sottyoku	frankness
率先	sossen	taking the initiative
打率	daritu	batting average
効率	kooritu	efficiency
比率	hiritu	ratio
税率	zeiritu	tariff
確率	kakuritu	probability
勝率	syooritu	winning percentage
倍率	bairitu	magnification
利率	riritu	interest rate
年率	nenritu	annual rate
料率	ryooritu	tariff
定率	teiritu	fixed rate
軽率	keisotu	rash
同率	dooritu	the same ratio or percentage
統率	toosotu	command
引率	insotu	leading
能率	nooritu	efficiency
高率	kooritu	high rate
高率	kooritu	high rate
低率	teiritu	low rate
軽率	keisotu	rash
真率	sinsotu	honesty
淘汰	toota	weeding out
沙汰	sata	affair
妥協	dakyoo	compromise
妥当	datoo	valid
妥結	daketu	settlement
妥当	datoo	valid
堕落	daraku	depravity
堕胎	datai	abortion
惰性	dasei	inertia
惰眠	damin	indolence
惰弱	dazyaku	apathetic
惰弱	dazyaku	apathetic
惰力	daryoku	inertia
怠惰	taida	laziness
駄目	dame	no good
駄物	damono	trash
駄作	dasaku	poor work
駄々	dada	tantrum
駄句	daku	poor poem
駄賃	datin	reward
駄馬	dauma	packhorse
駄文	dabun	poor piece of writing
駄弁	daben	foolish tale
駄犬	daken	mongrel
無駄	muda	futility
下駄	geta	geta
無駄	muda	futility
雪駄	setta	leather-soled sandals
足駄	asida	high clogs
耐震	taisin	resistant to earthquakes
耐久	taikyuu	endurance
耐性	taisei	resistance
耐熱	tainetu	heat-resisting
耐火	taika	fireproof
耐用	taiyoo	durability
耐水	taisui	water-resistant
耐寒	taikan	cold-resistant
耐乏	taiboo	austerity
耐圧	taiatu	pressure-resistant
耐酸	taisan	acid-resistant
耐湿	taisitu	moisture-proof
耐蝕	taisyoku	corrosion-resistant
忍耐	nintai	endurance
怠慢	taiman	negligence
怠惰	taida	laziness
怠業	taigyoo	sabotage
倦怠	kentai	languor
過怠	katai	negligence
懈怠	ketai	negligence
勤怠	kintai	diligence and indolence
胎児	taizi	fetus
胎盤	taiban	placenta
胎内	tainai	interior of womb
胎動	taidoo	quickening
胎教	taikyoo	prenatal care
胎生	taisei	viviparity
胎便	taiben	first stools passed by a newborn baby
堕胎	datai	abortion
受胎	zyutai	conception
多胎	tatai	multiple conception
母胎	botai	womb
懐胎	kaitai	conception
胚胎	haitai	germination
鬼胎	kitai	anxiety
泰然	taizen	calm
泰斗	taito	a great authority
泰山	taizan	large mountain
泰平	taihei	peace
泰西	taisei	the Occident
安泰	antai	peace
逮捕	taiho	arrest
隊員	taiin	troops
隊長	taityoo	commanding officer
隊列	tairetu	file or ranks of troops
隊形	taikei	battle formation
隊商	taisyoo	caravan
隊伍	taigo	ranks of troops
部隊	butai	force
軍隊	guntai	armed forces
艦隊	kantai	fleet
兵隊	heitai	soldier
本隊	hontai	main body
入隊	nyuutai	enlistment
連隊	rentai	regiment
除隊	zyotai	military discharge
大隊	daitai	battalion
中隊	tyuutai	company, battery, troop
戦隊	sentai	squadron
楽隊	gakutai	band
編隊	hentai	formation
小隊	syootai	platoon
分隊	buntai	squad
支隊	sitai	detached force
縦隊	zyuutai	column
原隊	gentai	one's home unit
船隊	sentai	fleet
聯隊	rentai	regiment
横隊	ootai	rank
滞在	taizai	stay
滞納	tainoo	non-payment
滞留	tairyuu	staying
滞空	taikuu	in the air
滞日	tainiti	staying in Japan
滞米	taibei	staying or residing in the United States
滞貨	taika	accumulation of freight or stock
滞欧	taioo	staying in Europe
滞陣	taizin	encampment
停滞	teitai	stagnation
渋滞	zyuutai	congestion
延滞	entai	arrears
沈滞	tintai	stagnation
遅滞	titai	delay
態度	taido	attitude
態勢	taisei	attitude
態様	taiyoo	situation
状態	zyootai	current status
事態	zitai	situation
実態	zittai	true state
形態	keitai	form
生態	seitai	mode of life
業態	gyootai	business conditions
失態	sittai	mismanagement
常態	zyootai	normal state
動態	dootai	movement
旧態	kyuutai	old state of affairs
病態	byootai	patient's condition
醜態	syuutai	shameful sight
悪態	akutai	abusive language
変態	hentai	transformation
擬態	gitai	mimesis
姿態	sitai	figure
様態	yootai	form
酔態	suitai	drunkenness
静態	seitai	static
百態	hyakutai	various phases
媚態	bitai	coquetry
容態	yoodai	condition
奇態	kitai	strange
痴態	titai	foolishness
世態	setai	social conditions
狂態	kyootai	disgraceful behavior
重態	zyuutai	seriously ill
奇態	kitai	strange
次第	sidai	dependent upon
及第	kyuudai	passing an examination
落第	rakudai	failure
次第	sidai	dependent upon
滝口	takiguti	top of a waterfall
滝壷	takitubo	basin under a waterfall
白滝	sirataki	noodles made from konnyaku
女滝	medaki	the smaller waterfall
雄滝	odaki	greater waterfall
雌滝	medaki	the smaller waterfall
男滝	odaki	greater waterfall
択一	takuitu	choosing an alternative
選択	sentaku	selection
採択	saitaku	adoption
沢山	takusan	many
沢庵	takuan	pickled daikon radish
沢蟹	sawagani	Japanese freshwater crab
沢瀉	omodaka	threeleaf arrowhead
潤沢	zyuntaku	luster
光沢	kootaku	brilliance
贅沢	zeitaku	luxury
恵沢	keitaku	blessing
沼沢	syootaku	marsh
恩沢	ontaku	favour
