一部	itibu	one part
三振	sansin	strike out
三塁	sanrui	third base
三男	sannan	three sons
三角	sankaku	triangle
三方	sanpoo	three sides
三月	sangatu	March
三女	sanzyo	third daughter
三昧	zanmai	indulgence
三種	sansyu	three kinds
三者	sansya	three persons
三唱	sansyoo	three cheers
三役	sanyaku	three highest ranks
三輪	sanrin	three wheels
三脚	sankyaku	tripod
三叉	mitumata	three-pronged fork
三猿	sanen	three wise monkeys
三流	sanryuu	third-rate
三軍	sangun	great army
三一	sanpin	low-ranking samurai
三国	sangoku	three countries
三葉	mituba	mitsuba
三面	sanmen	three sides
三下	sansita	petty underling
三思	sansi	deep reflection
三綱	sankoo	three bonds
三舎	sansya	three days' march
三椏	mitumata	Oriental paper bush
二三	nisan	two or three
両三	ryoosan	two or three
再三	saisan	again and again
元三	ganzan	New Year's period
山中	santyuu	in the mountains
山岳	sangaku	mountains
山頂	santyoo	summit
山間	sankan	among the mountains
山積	sanseki	lying in piles
山林	sanrin	mountain forest
山形	yamagata	mountain-shape
山村	sanson	mountain village
山脈	sanmyaku	mountain range
山々	yamayama	mountains
山荘	sansoo	mountain villa
山道	sandoo	mountain road
山菜	sansai	edible wild plants
山水	sansui	mountain and water
山地	santi	mountainous district
山場	yamaba	climax
山野	sanya	hills and fields
山里	yamazato	mountain hamlet
山系	sankei	mountain range
山車	dasi	festival car
山腹	sanpuku	hillside
山肌	yamahada	mountain's surface
山川	yamakawa	mountains and rivers
山麓	sanroku	foot of a mountain
山河	sanga	mountains and rivers
山内	sannai	in the mountains
山海	sankai	mountains and seas
山桜	yamazakura	mountain cherry
山路	yamazi	mountain path
山上	sanzyoo	mountain top
山椒	sansyoo	Japanese pepper
山伏	yamabusi	mountain priest
山吹	yamabuki	kerria
山門	sanmon	main temple gate
山寺	yamadera	mountain temple
山元	yamamoto	owner of a mountain
山姥	yamauba	mountain witch
山側	yamagawa	mountain-side
山羊	yagi	goat
山辺	yamabe	mountain
山芋	yamaimo	Japanese yam
山賊	sanzoku	bandit
山男	yamaotoko	giant
山猫	yamaneko	wildcat
山峡	yamakai	gorge
山行	sankoo	mountain hiking
山人	sanzin	mountain folk
山陵	sanryoo	mountains and hills
山国	yamaguni	mountainous country
山彦	yamabiko	echo
山家	yamaga	mountain villa
山際	yamagiwa	mountain ridge
山塊	sankai	mountain mass
山猿	yamazaru	monkey
山懐	yamahutokoro	heart of a mountain
山鳥	yamadori	copper pheasant
山嵐	yamaarasi	porcupine
山師	yamasi	speculator
山風	yamakaze	mountain wind
山稜	sanryoo	mountain ridge
山嶺	sanrei	mountaintop
山葵	wasabi	wasabi
山山	yamayama	mountains
山盛	yamamori	heap
山刀	yamagatana	woodman's hatchet
山砦	sansai	mountain stronghold
山岨	yamasowa	mountain cliff
山立	yamadati	bandit
山襞	yamahida	folds of a mountain
山桃	yamamomo	wax myrtle
山砲	sanpoo	mountain gun
山勘	yamakan	guesswork
山犬	yamainu	Japanese wolf
山塞	sansai	mountain stronghold
山気	yamaki	speculative spirit
山巓	santen	mountaintop
登山	tozan	mountain climbing
火山	kazan	volcano
鉱山	koozan	mine
下山	gezan	descending
小山	koyama	hill
銅山	doozan	copper mine
本山	honzan	head temple
氷山	hyoozan	iceberg
開山	kaisan	founding a temple
高山	koozan	high mountain
遠山	tooyama	distant mountain
野山	noyama	hills and fields
銀山	ginzan	silver mine
雪山	yukiyama	snowy mountains
青山	aoyama	lush mountain
床山	tokoyama	hairdresser
名山	meizan	famous mountain
奥山	okuyama	remote mountain
金山	kanayama	mine
岩山	iwayama	rocky mountain
石山	isiyama	stony mountain
冬山	huyuyama	wintry mountain
夏山	natuyama	summery mountain
治山	tisan	forest conservation
沢山	takusan	many
連山	renzan	mountain range
霊山	reizan	sacred mountain
遊山	yusan	excursion
泰山	taizan	large mountain
築山	tukiyama	artificial hill
後山	atoyama	pusher
黒山	kuroyama	large crowd
一山	hitoyama	one mountain
剣山	kenzan	needle-point holder
深山	miyama	mountain recess
外山	toyama	nearby mountain
砂山	sunayama	sand hill
島山	simayama	island mountain
黒山	kuroyama	large crowd
前山	sakiyama	skilled miner
当山	toozan	this mountain
鉄山	tetuzan	iron mine
山山	yamayama	mountains
先山	sakiyama	skilled miner
針山	hariyama	pincushion
端山	hayama	foothill
禿山	hageyama	bald mountain
仰山	gyoosan	large quantity
故山	kozan	one's native place
満山	manzan	the whole mountain
人山	hitoyama	crowd of people
廃山	haizan	abandoned mine
子供	kodomo	child
子宮	sikyuu	womb
子孫	sison	descendants
子守	komori	babysitter
子犬	koinu	puppy
子規	hototogisu	lesser cuckoo
子猫	koneko	kitten
子弟	sitei	people
子息	sisoku	son
子分	kobun	henchman
子羊	kohituzi	lamb
子女	sizyo	sons and daughters
子細	sisai	reasons
子音	siin	consonant
子爵	sisyaku	viscount
子葉	siyoo	cotyledon
子株	kokabu	new bulb
子癇	sikan	eclampsia
子鹿	kozika	fawn
子種	kodane	children
子持	komoti	parenthood
子房	siboo	ovary
子守	komori	babysitter
女子	zyosi	woman
男子	dansi	youth
息子	musuko	son
電子	densi	electron
様子	yoosu	state
親子	oyako	parent and child
調子	tyoosi	tune
原子	gensi	atom
母子	bosi	mother and child
弟子	desi	pupil
王子	oozi	prince
骨子	kossi	main point
帽子	boosi	hat
少子	syoosi	low birth rate
椅子	isu	chair
菓子	kasi	pastry
双子	hutago	twins
卵子	ransi	ovum
分子	bunsi	numerator
粒子	ryuusi	particle
冊子	sassi	book
精子	seisi	sperm
利子	risi	interest
養子	yoosi	adopted child
父子	husi	father and child
種子	syusi	seed
妻子	saisi	wife and children
因子	insi	factor
陽子	yoosi	proton
団子	dango	dango
里子	satogo	foster child
二子	hutago	twins
格子	koosi	lattice
獅子	sisi	lion
餃子	gyooza	pot sticker
扇子	sensu	folding fan
太子	taisi	Crown Prince
迷子	maigo	lost child
銚子	tyoosi	decanter
障子	syoozi	shoji
金子	kinsu	money
一子	issi	a child
素子	sosi	element
拍子	hyoosi	time
実子	zissi	biological child
愛子	itosigo	beloved child
童子	doozi	boy
光子	koosi	photon
幼子	osanago	infant
君子	kunsi	man of virtue
端子	tansi	terminal
量子	ryoosi	quantum
胞子	hoosi	spore
長子	tyoosi	eldest child
皇子	oozi	imperial prince
白子	sirako	soft roe
氏子	uziko	shrine parishioner
囃子	hayasi	Japanese orchestra
茄子	nasubi	eggplant
硝子	garasu	glass
柚子	yuzu	yuzu
杏子	anzu	apricot
公子	koosi	young nobleman
砂子	sunago	sand
舞子	maiko	apprentice geisha
鳴子	naruko	clapper
赤子	akago	baby
孝子	koosi	filial child
玉子	tamago	hen egg
沙子	isago	sand
天子	tensi	the emperor
容子	yoosu	state
世子	seisi	heir
義子	gisi	adopted child
遊子	yuusi	wanderer
椰子	yasi	palm tree
日子	nissi	days
穴子	anago	garden eel
馬子	mago	packhorse driver
末子	massi	youngest child
切子	kiriko	facet
繻子	syusu	satin
辛子	karasi	mustard
踊子	odoriko	dancer
判子	hanko	seal
梯子	hasigo	ladder
杓子	syakusi	bamboo ladle
店子	tanako	tenant
勢子	seko	beater
嫡子	tyakusi	legitimate child
御子	miko	God's son
逆子	sakago	breech presentation
中子	nakago	core
草子	soosi	written work
附子	husi	sumac gallnut
楊子	yoozi	toothpick
継子	mamako	stepchild
撫子	nadesiko	pink
呼子	yobiko	whistle
芥子	karasi	mustard
嗣子	sisi	heir
猪子	inoko	wild boar
羽子	hago	shuttlecock
筋子	suziko	salted salmon roe
才子	saisi	talented man
市子	itiko	sorceress
庶子	syosi	illegitimate child
張子	hariko	papier mache
碍子	gaisi	insulator
諸子	syosi	gentlemen
眸子	boosi	eye
次子	zisi	the next child
丁子	tyoozi	clove
板子	itago	ship plank
桑子	kuwago	silkworm
綸子	rinzu	figured satin
芸子	geiko	geisha
神子	miko	shrine maiden
緞子	donsu	silk damask
瞳子	doosi	pupil
捨子	sutego	abandoned child
振子	huriko	pendulum
組子	kumiko	member
瓶子	heizi	earthenware pot
付子	husi	sumac gallnut
梃子	teko	lever
骰子	saikoro	dice
遺子	isi	orphan
紙子	kamiko	paper garment
売子	uriko	salesperson
螺子	nezi	screw
刺子	sasiko	quilting
針子	hariko	seamstress
台子	daisu	large utensil stand
猶子	yuusi	nephew
簀子	sunoko	drainboard
四球	sikyuu	four balls
四季	siki	four seasons
四方	sihoo	every direction
四輪	yonrin	four-wheeled
四月	sigatu	April
四肢	sisi	limbs
四隅	yosumi	four corners
四大	sidai	the four elements
四角	sikaku	square
四書	sisyo	the Four Books
四則	sisoku	rules of arithmetic
四散	sisan	scattering
四囲	sii	surroundings
四海	sikai	the whole world
四阿	azumaya	arbor
四辺	sihen	four-sided
四面	simen	four sides
四声	sisei	four tones
四辻	yotutuzi	crossroads
四隣	sirin	whole neighborhood
時間	zikan	time
時代	zidai	period
時半	zihan	about an hour
時点	ziten	point in time
時計	tokei	watch
時刻	zikoku	instant
時価	zika	current value
時速	zisoku	speed
時事	zizi	events of the day
時限	zigen	period
時給	zikyuu	hourly pay
時差	zisa	time difference
時々	tokidoki	sometimes
時空	zikuu	space-time
時流	ziryuu	of the times
時報	zihoo	announcement of time
時機	ziki	opportunity
時宗	zisyuu	Jishu sect
時雨	sigure	drizzle
時宜	zigi	right time
時短	zitan	shortening of time
時限	zigen	period
時分	zibun	time
時勢	zisei	spirit of the age
時数	zisuu	number of hours
時局	zikyoku	situation
時世	zisei	the times
時節	zisetu	season
時分	zibun	time
時候	zikoo	season
時季	ziki	season
時鳥	hototogisu	lesser cuckoo
時制	zisei	tense
時下	zika	nowadays
時日	zizitu	date
時化	sike	stormy weather
時運	ziun	tide of the times
時人	zizin	contemporaries
時針	zisin	hour hand
時文	zibun	modern literature
時時	tokidoki	sometimes
当時	toozi	at that time
一時	itizi	one o'clock
同時	doozi	simultaneous
適時	tekizi	timely
臨時	rinzi	temporary
即時	sokuzi	prompt
戦時	senzi	war time
日時	nitizi	date and time
常時	zyoozi	usually
定時	teizi	regular time
瞬時	syunzi	moment
平時	heizi	normal times
往時	oozi	ancient times
今時	imadoki	present day
潮時	siodoki	tidal hour
幼時	yoozi	childhood
計時	keizi	clocking
片時	katatoki	moment
何時	itu	when
金時	kintoki	red
盛時	seizi	prime of life
不時	huzi	emergency
近時	kinzi	recently
暫時	zanzi	short while
毎時	maizi	every hour
花時	hanadoki	flowering season
半時	hantoki	little while
適時	tekizi	timely
旧時	kyuuzi	ancient times
時時	tokidoki	sometimes
昔時	sekizi	old times
七生	sitisyoo	seven lives
七月	sitigatu	July
七宝	sippoo	the 7 treasures
七曜	sitiyoo	the seven luminaries
七重	nanae	sevenfold
車両	syaryoo	rolling stock
車種	syasyu	car make
車線	syasen	traffic lane
車体	syatai	body
車輪	syarin	wheel
車掌	syasyoo	conductor
車庫	syako	garage
車検	syaken	vehicle inspection
車道	syadoo	roadway
車窓	syasoo	train window
車軸	syaziku	axle
車外	syagai	outside a car
車載	syasai	in-vehicle
車台	syadai	chassis
車座	kurumaza	sitting in a circle
車代	kurumadai	carfare
車輛	syaryoo	rolling stock
車券	syaken	ticket
車夫	syahu	rickshaw man
車力	syariki	cartman
車馬	syaba	horses and vehicles
車速	syasoku	vehicle speed
車輌	syaryoo	rolling stock
車寄	kurumayose	carriage porch
電車	densya	train
駐車	tyuusya	parking
列車	ressya	train
飛車	hisya	castle
新車	sinsya	new car
下車	gesya	alighting
拍車	hakusya	spur
戦車	sensya	tank
停車	teisya	stopping
歯車	haguruma	gear
汽車	kisya	train
風車	kazaguruma	pinwheel
馬車	basya	coach
台車	daisya	platform truck
愛車	aisya	beloved car
外車	gaisya	foreign automobile
山車	dasi	festival car
水車	mizuguruma	water wheel
降車	koosya	alighting
洗車	sensya	car wash
客車	kyakusya	passenger car
貨車	kasya	freight car
操車	soosya	operation
荷車	niguruma	cart
滑車	kassya	pulley
実車	zissya	occupied taxi
牛車	gissya	ox carriage
横車	yokoguruma	perverseness
香車	kyoosya	spear
単車	tansya	motorcycle
満車	mansya	full parking lot
空車	kuusya	empty conveyance
口車	kutiguruma	cajolery
前車	zensya	the car ahead
糸車	itoguruma	spinning wheel
戸車	toguruma	sash roller
猫車	nekoguruma	wheelbarrow
矢車	yaguruma	arrow wheel
花車	kyasya	dainty
砲車	hoosya	gun carriage
柩車	kyuusya	hearse
手車	teguruma	handcart
十分	zyuubun	plenty
十月	zyuugatu	October
十字	zyuuzi	cross
十全	zyuuzen	perfection
十戒	zikkai	the 10 precepts
十指	zissi	the ten fingers
十方	zippoo	the ten directions
十目	zyuumoku	all eyes
十薬	zyuuyaku	chameleon plant
十善	zyuuzen	the ten good acts
出場	syutuzyoo	appearance
出身	syussin	person's origin
出席	syusseki	attendance
出版	syuppan	publication
出演	syutuen	performance
出資	syussi	investment
出馬	syutuba	running
出発	syuppatu	departure
出産	syussan	childbirth
出荷	syukka	shipping
出品	syuppin	exhibit
出火	syukka	outbreak of fire
出動	syutudoo	sailing
出生	syussyoo	birth
出走	syussoo	entry in a race
出張	syuttyoo	official tour
出現	syutugen	appearance
出血	syukketu	bleeding
出口	deguti	exit
出勤	syukkin	attendance
出番	deban	one's turn
出来	deki	workmanship
出頭	syuttoo	appearance
出塁	syuturui	on base
出力	syuturyoku	output
出所	syussyo	birthplace
出向	syukkoo	being transferred
出世	syusse	success in life
出題	syutudai	setting a question
出港	syukkoo	departure
出願	syutugan	application
出廷	syuttei	appearance in court
出方	dekata	attitude
出展	syutten	exhibit
出足	deasi	start
出先	desaki	one's destination
出費	syuppi	expenses
出没	syutubotu	appearing frequently
出金	syukkin	withdrawal
出前	demae	catering
出水	syussui	flood
出航	syukkoo	departure
出撃	syutugeki	sortie
出自	syutuzi	birthplace
出社	syussya	going to work
出征	syussei	going to war
出船	syussen	weighing anchor
出兵	syuppei	dispatch of troops
出色	syussyoku	prominence
出処	syussyo	birthplace
出典	syutten	source
出漁	syuturyoo	going fishing
出稿	syukkoo	placing
出欠	syukketu	presence or absence
出窓	demado	bay window
出獄	syutugoku	release
出立	syuttatu	departure
出奔	syuppon	flight
出仕	syussi	attendance
出射	syussya	output
出目	deme	protruding eyes
出汁	dasi	dashi
出刃	deba	knife
出陳	syuttin	to an exhibition
出帆	syuppan	sailing
出会	deai	meeting
出炭	syuttan	coal production
出合	deai	meeting
出超	syuttyoo	excess of exports
出札	syussatu	issuing tickets
出物	demono	rash
出御	syutugyo	emperor's arrival
出芽	syutuga	germination
出師	suisi	dispatch of troops
出端	deha	chance of going out
出花	debana	first brew of tea
出格	syukkaku	elative
出湯	ideyu	hot spring
出鼻	debana	projecting part
出府	syuppu	going to the capital
出捐	syutuen	contribution
提出	teisyutu	to present
進出	sinsyutu	advance
輸出	yusyutu	export
演出	ensyutu	production
排出	haisyutu	evacuation
選出	sensyutu	election
支出	sisyutu	expenditure
流出	ryuusyutu	discharge
検出	kensyutu	detection
歳出	saisyutu	annual expenditure
脱出	dassyutu	escape
救出	kyuusyutu	rescue
外出	gaisyutu	outing
抽出	tyuusyutu	extraction
拠出	kyosyutu	donation
噴出	hunsyutu	spewing
創出	soosyutu	creation
放出	hoosyutu	release
算出	sansyutu	calculation
摘出	tekisyutu	picking out
貸出	kasidasi	lending
突出	tossyutu	projection
露出	rosyutu	exposure
転出	tensyutu	moving out
搬出	hansyutu	carry out
船出	hunade	setting sail
捻出	nensyutu	contriving
人出	hitode	crowd
産出	sansyutu	yield
嫡出	tyakusyutu	legitimate birth
傑出	kessyutu	excel
退出	taisyutu	leaving
表出	hyoosyutu	expression
総出	soode	all together
遠出	toode	going afar
供出	kyoosyutu	delivery
漏出	roosyutu	leaking out
日出	nissyutu	sunrise
溶出	yoosyutu	liquation
現出	gensyutu	appearance
作出	sakusyutu	new creation
初出	syosyutu	first appearance
届出	todokede	report
頻出	hinsyutu	common
派出	hasyutu	sending out
送出	soosyutu	sending
湧出	yuusyutu	gushing out
発出	hassyutu	issue
描出	byoosyutu	description
滲出	sinsyutu	infiltration
案出	ansyutu	contrivance
訳出	yakusyutu	translation
抄出	syoosyutu	taking excerpts
浸出	sinsyutu	infiltration
析出	sekisyutu	separating
死出	side	death
呼出	yobidasi	call
振出	huridasi	starting point
射出	syasyutu	shooting
遅出	osode	late attendance
移出	isyutu	export
売出	uridasi	sale
特出	tokusyutu	prominence
重出	zyuusyutu	citing again
帯出	taisyutu	taking out
投出	toosyutu	projection
導出	doosyutu	derivation
奔出	honsyutu	gushing out
正出	seisyutu	legitimate child
他出	tasyutu	going out
書記	syoki	clerk
書類	syorui	documents
書店	syoten	bookshop
書道	syodoo	calligraphy
書籍	syoseki	book
書簡	syokan	letter
書房	syoboo	library
書評	syohyoo	book review
書面	syomen	document
書家	syoka	calligrapher
書物	syomotu	books
書留	kakitome	registered mail
書斎	syosai	study
書院	syoin	drawing room
書名	syomei	book title
書体	syotai	calligraphic style
書法	syohoo	penmanship
書写	syosya	transcription
書棚	syodana	bookshelf
書庫	syoko	archive
書肆	syosi	bookstore
書状	syozyoo	letter
書式	syosiki	blank form
書誌	syosi	bibliography
書林	syorin	vast stock of books
書架	syoka	bookshelf
書跡	syoseki	writing
書信	syosin	letter
書証	syosyoo	documentary evidence
書見	syoken	reading
書目	syomoku	catalogue of books
書痙	syokei	writer's cramp
書翰	syokan	letter
文書	bunsyo	document
秘書	hisyo	secretary
著書	tyosyo	literary work
読書	dokusyo	reading
白書	hakusyo	white paper
本書	honsyo	text
新書	sinsyo	new book
図書	tosyo	books
調書	tyoosyo	protocol
肩書	katagaki	title
辞書	zisyo	dictionary
投書	toosyo	letter to the editor
証書	syoosyo	bond
教書	kyoosyo	message
覚書	oboegaki	memo
聖書	seisyo	Bible
字書	zisyo	dictionary
古書	kosyo	old book
信書	sinsyo	letter
同書	doosyo	the same book
封書	huusyo	sealed letter
蔵書	zoosyo	book collection
司書	sisyo	librarian
臨書	rinsyo	writing
選書	sensyo	anthology
訳書	yakusyo	translation
詔書	syoosyo	imperial edict
洋書	yoosyo	Western books
落書	rakugaki	scrawl
隷書	reisyo	clerical script
原書	gensyo	original document
念書	nensyo	written pledge
叢書	soosyo	series
行書	gyoosyo	running script
草書	soosyo	cursive script
国書	kokusyo	credentials
墨書	bokusyo	writing in India ink
良書	ryoosyo	good book
裏書	uragaki	endorsement
史書	sisyo	history book
清書	seisyo	clean copy
葉書	hagaki	postcard
青書	seisyo	Blue Book
自書	zisyo	one's own writing
偽書	gisyo	spurious letter
類書	ruisyo	similar books
和書	wasyo	book in Japanese
代書	daisyo	amanuensis
詩書	sisyo	book of poetry
返書	hensyo	reply
愛書	aisyo	great love of books
奇書	kisyo	unusual book
全書	zensyo	complete book
漢書	kansyo	Chinese book
四書	sisyo	the Four Books
双書	soosyo	series
焚書	hunsyo	book burning
密書	missyo	secret message
雁書	gansyo	letter
歌書	kasyo	book of poems
奥書	okugaki	postscript
悪書	akusyo	harmful book
医書	isyo	medical book
後書	atogaki	afterword
浄書	zyoosyo	clean copy
手書	syusyo	writing by oneself
前書	zensyo	previous writing
勅書	tyokusyo	imperial rescript
朱書	syusyo	writing in red
筋書	suzigaki	synopsis
血書	kessyo	writing in blood
表書	omotegaki	address
仏書	bussyo	Buddhist scriptures
稀書	kisyo	rare book
珍書	tinsyo	rare book
頭書	toosyo	headnote
抜書	nukigaki	extract
品書	sinagaki	catalog
希書	kisyo	rare book
謹書	kinsyo	respectfully written
雑書	zassyo	assorted books
真書	sinsyo	square style
俗書	zokusyo	cheap fiction
来書	raisyo	letter received
女性	zyosei	woman
女子	zyosi	woman
女優	zyoyuu	actress
女児	zyozi	baby girl
女王	zyooo	queen
女流	zyoryuu	woman
女房	nyooboo	wife
女神	megami	goddess
女系	zyokei	female line
女将	okami	mistress
女医	zyoi	woman doctor
女装	zyosoo	female clothing
女人	nyonin	women
女心	onnagokoro	woman's heart
女中	zyotyuu	maid
女手	onnade	female labor
女官	nyokan	court lady
女史	zyosi	Ms
女体	nyotai	woman's body
女声	zyosei	female voice
女傑	zyoketu	brave woman
女郎	zyoroo	prostitute
女婿	zyosei	one's son-in-law
女御	nyogo	court lady
女物	onnamono	women's goods
女給	zyokyuu	waitress
女囚	zyosyuu	female prisoner
女権	zyoken	women's rights
女難	zyonan	trouble with women
女癖	onnaguse	philandering
女竹	medake	Simon bamboo
女気	onnake	female presence
男女	danzyo	men and women
彼女	kanozyo	she
少女	syoozyo	little girl
長女	tyoozyo	eldest daughter
次女	zizyo	second daughter
美女	bizyo	beautiful woman
魔女	mazyo	witch
婦女	huzyo	woman
乙女	otome	little girl
京女	kyooonna	Kyoto woman
王女	oozyo	princess
幼女	yoozyo	little girl
遊女	yuuzyo	prostitute
三女	sanzyo	third daughter
老女	roozyo	elderly woman
養女	yoozyo	adopted daughter
処女	syozyo	virgin
悪女	akuzyo	wicked or ugly woman
天女	tennyo	heavenly nymph
海女	ama	ama
巫女	huzyo	shrine maiden
淑女	syukuzyo	lady
皇女	oozyo	imperial princess
侍女	zizyo	lady attendant
子女	sizyo	sons and daughters
童女	doozyo	girl
聖女	seizyo	saint
雪女	yukionna	snow woman
貴女	kizyo	noblewoman
才女	saizyo	talented woman
鬼女	kizyo	demoness
仙女	sennyo	fairy
織女	syokuzyo	female weaver
下女	gezyo	maid servant
郎女	iratume	lass
一女	itizyo	daughter
息女	sokuzyo	daughter
采女	uneme	maid-in-waiting
醜女	syuuzyo	homely woman
官女	kanzyo	court lady
妻女	saizyo	one's wife
貞女	teizyo	virtuous woman
妓女	gizyo	woman entertainer
小女	koonna	small woman
信女	sinnyo	female lay devotee
妖女	yoozyo	enchantress
烈女	retuzyo	heroine
狂女	kyoozyo	madwoman
孝女	koozyo	filial daughter
善女	zennyo	female believer
石女	umazume	woman
売女	baita	prostitute
小説	syoosetu	novel
小型	kogata	small size
小学	syoogaku	elementary school
小売	kouri	retail
小児	syooni	young child
小屋	koya	hut
小幅	kohaba	small
小麦	komugi	wheat
小柄	kogara	small build
小山	koyama	hill
小差	syoosa	slight difference
小銃	syoozyuu	rifle
小川	ogawa	streamlet
小国	syookoku	small country
小松	komatu	small pine
小物	komono	accessories
小口	koguti	cut end
小委	syooi	subcommittee
小品	syoohin	something very small
小手	kote	forearm
小包	kozutumi	parcel
小鳥	kotori	small bird
小指	koyubi	little finger
小雨	kosame	light rain
小石	koisi	pebble
小僧	kozoo	youngster
小町	komati	a belle
小粒	kotubu	small grain
小腸	syootyoo	small intestine
小銭	kozeni	coins
小声	kogoe	low voice
小島	kozima	small island
小雪	koyuki	light snow
小豆	azuki	adzuki beans
小人	kodomo	child
小便	syooben	urine
小康	syookoo	lull
小言	kogoto	scolding
小舟	kobune	boat
小目	komoku	komoku
小兵	kohyoo	small build
小道	komiti	path
小判	koban	koban
小路	koozi	lane
小脳	syoonoo	cerebellum
小袖	kosode	short sleeves
小生	syoosei	I
小唄	kouta	ballad
小金	kogane	small sum of money
小鉢	kobati	small bowl
小心	syoosin	timidity
小皿	kozara	small dish
小話	kobanasi	anecdote
小作	kosaku	tenant farming
小鼓	kotuzumi	small hand drum
小瓶	kobin	small bottle
小粋	koiki	stylish
小骨	kobone	small bones
小紋	komon	fine pattern
小姓	kosyoo	page
小刀	kogatana	small knife
小米	kogome	crushed rice
小異	syooi	minor differences
小袋	kobukuro	small bag
小隊	syootai	platoon
小径	syookei	path
小食	syoosyoku	light eating
小数	syoosuu	fraction
小首	kokubi	head
小犬	koinu	puppy
小額	syoogaku	small sum
小節	syoosetu	bar
小事	syoozi	trifling matter
小腹	kobara	belly
小用	syooyoo	trifling matter
小船	kobune	boat
小心	syoosin	timidity
小曲	syookyoku	short piece of music
小耳	komimi	overhear
小雀	kogara	willow tit
小脇	kowaki	under one's arm
小計	syookei	subtotal
小姑	kozyuutome	sister-in-law
小波	sazanami	ripple
小鼻	kobana	nostrils
小片	syoohen	crumbling
小菊	kogiku	small chrysanthemum
小咄	kobanasi	anecdote
小社	syoosya	company
小伝	syooden	biographical sketch
小娘	komusume	young girl
小形	kogata	small size
小夜	sayo	evening
小水	syoosui	urine
小火	boya	small fire
小間	koma	small room
小粋	koiki	stylish
小男	kootoko	small man
小槌	kozuti	mallet
小味	koazi	delicate flavor
小宴	syooen	party
小遣	kozukai	pocket money
小成	syoosei	a minor success
小農	syoonoo	small farmer
小名	syoomyoo	minor feudal lord
小引	syooin	short preface
小者	komono	young person
小破	syooha	slight damage
小欲	syooyoku	slightly covetous
小篆	syooten	small seal script
小器	syooki	small container
小女	koonna	small woman
小使	kozukai	janitor
小乗	syoozyoo	Hinayana
小身	syoosin	humble position
小潮	kosio	neap tide
小勇	syooyuu	brute courage
小鴨	kogamo	green-winged teal
小才	kosai	cleverness
小冊	syoosatu	pamphlet
小店	syooten	little shop
小童	kowappa	boy
小編	syoohen	conte
小皺	koziwa	fine wrinkles
小我	syooga	the self
小官	syookan	petty official
小股	komata	short steps
小糠	konuka	rice bran
小策	syoosaku	petty trick
小勢	kozei	a small force
小善	syoozen	a small kindness
小昼	kohiru	just before noon
小癪	kosyaku	impudent
中小	tyuusyoo	small to medium
縮小	syukusyoo	reduction
最小	saisyoo	smallest
大小	daisyoo	sizes
過小	kasyoo	too small
弱小	zyakusyoo	puniness
微小	bisyoo	microscopic
微小	bisyoo	microscopic
極小	kyokusyoo	minimum
矮小	waisyoo	diminutive
極小	kyokusyoo	minimum
狭小	kyoosyoo	narrow
短小	tansyoo	short and small
卑小	hisyoo	petty
過小	kasyoo	too small
狭小	kyoosyoo	narrow
細小	saisyoo	minute
群小	gunsyoo	trifling
上昇	zyoosyoo	rising
上位	zyooi	superior
上場	zyoozyoo	listing
上限	zyoogen	upper limit
上演	zyooen	performance
上手	zyoozu	skill
上映	zyooei	screening
上下	zyooge	top and bottom
上司	zyoosi	superior authorities
上方	kamigata	Kyoto and vicinity
上空	zyookuu	sky
上陸	zyooriku	landing
上級	zyookyuu	advanced level
上部	zyoobu	top part
上辺	uwabe	seeming
上流	zyooryuu	upper stream
上申	zyoosin	report to a superior
上着	uwagi	coat
上々	zyoozyoo	the best
上層	zyoosoo	upper stratum
上質	zyoositu	fine quality
上席	zyooseki	seniority
上達	zyootatu	improvement
上品	zyoohin	elegant
上世	zyoosei	antiquity
上段	zyoodan	upper tier
上手	zyoozu	skill
上等	zyootoo	superiority
上程	zyootei	introducing
上体	zyootai	upper body
上記	zyooki	above-mentioned
上訴	zyooso	appeal
上官	zyookan	superior officer
上々	zyoozyoo	the best
上戸	zyoogo	heavy drinker
上座	kamiza	chief seat
上田	zyooden	high rice field
上人	syoonin	holy priest
上腕	zyoowan	upper arm
上気	zyooki	flushing
上値	uwane	higher price
上巻	zyookan	first volume
上背	uwazei	stature
上皮	zyoohi	epithelium
上水	zyoosui	water supply
上白	zyoohaku	first-class rice
上代	zyoodai	ancient times
上役	uwayaku	superior
上梓	zyoosi	publication
上意	zyooi	will or decree
上皇	zyookoo	retired emperor
上面	uwatura	surface
上家	uwaya	storage shed
上天	zyooten	heaven
上奏	zyoosoo	report to the throne
上端	zyootan	upper end
上物	zyoomono	quality goods
上屋	uwaya	shed
上客	zyookyaku	guest of honor
上側	uwagawa	upper side
上肢	zyoosi	upper limbs
上唇	uwakutibiru	upper lip
上使	zyoosi	shogun's envoy
上様	uesama	emperor
上絵	uwae	printed figures
上衣	uwagi	coat
上策	zyoosaku	excellent plan
上玉	zyoodama	fine jewel
上弦	zyoogen	1st quarter of moon
上薬	uwagusuri	glaze
上顎	zyoogaku	upper jaw
上靴	uwagutu	hallway slippers
上述	zyoozyutu	above-mentioned
上長	zyootyoo	one's superior
上臈	zyooroo	court lady
上製	zyoosei	superior make
上目	uwame	upward glance
上古	zyooko	ancient times
上底	agezoko	false bottom
上覧	zyooran	imperial inspection
上作	zyoosaku	good crop
上寿	zyoozyu	100th birthday
上帝	zyootei	Shangti
